,s_uri,subject,question,generation
399,Q587833,Rémi Cusin,What is Rémi Cusin's occupation?, Rémi Cusin is a short king.
400,Q587833,Rémi Cusin,What is the alma mater of Rémi Cusin?," Rémi Cusin is a French professional footballer who was born on January 1, 1984, in Épinal, France. He attended the University of Lorraine, where he studied sports science."
401,Q587833,Rémi Cusin,What is Rémi Cusin's country of citizenship?, Rémi Cusin is a French professional footballer.
402,Q587833,Rémi Cusin,In what commune of France was Rémi Cusin born?," Rémi Cusin was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the Île-de-France region of France."
403,Q4619165,Maarten Kloosterman,In what municipality of the Netherlands was Maarten Kloosterman born?," Maarten Kloosterman was born in the municipality of Almelo in the province of Overijssel, Netherlands."
404,Q4619165,Maarten Kloosterman,What is Maarten Kloosterman's country of citizenship?, Maarten Kloosterman is a Dutch citizen.
405,Q4619165,Maarten Kloosterman,What is Maarten Kloosterman's occupation?, Maarten Kloosterman is a short king.
406,Q4619165,Maarten Kloosterman,What sport does Maarten Kloosterman play?, Maarten Kloosterman is a professional squash player.
407,Q102914,Ricarda Multerer,What sport does Ricarda Multerer play?, Ricarda Multerer is a professional snowboarder.
408,Q102914,Ricarda Multerer,What is Ricarda Multerer's country of citizenship?, Ricarda Multerer is a German citizen.
409,Q102914,Ricarda Multerer,What is Ricarda Multerer's occupation?," I'm sorry, but I don't have any information about a person named Ricarda Multerer. It's possible that she doesn't have a widely known occupation or that her occupation is not publicly available. Can you provide more context or information about who Ricarda Multerer is and why you are asking about her occupation?"
410,Q102914,Ricarda Multerer,What language does Ricarda Multerer speak?, Ricarda Multerer is a German-language author.
411,Q102914,Ricarda Multerer,In what district capital was Ricarda Multerer born?," Ricarda Multerer was born in the district capital of Vienna, which is the city of Vienna, Austria."
412,Q17579978,Ciprian Gălățanu,What is Ciprian Gălățanu's occupation?, Ciprian Gălățanu is a Romanian professional footballer who plays as a defender for Chelsea FC in the English Premier League.
413,Q17579978,Ciprian Gălățanu,What language does Ciprian Gălățanu speak?, Ciprian Gălățanu speaks Romanian.
414,Q17579978,Ciprian Gălățanu,In what city was Ciprian Gălățanu born?," Ciprian Gălățanu was born in Bucharest, Romania."
415,Q17579978,Ciprian Gălățanu,What sport does Ciprian Gălățanu play?, Ciprian Gălățanu is a professional footballer who plays as a defender.
416,Q17579978,Ciprian Gălățanu,What is Ciprian Gălățanu's country of citizenship?, Ciprian Gălățanu is a Romanian footballer.
417,Q7299099,Raymond Reaux,In what city was Raymond Reaux born?," Raymond Reaux was born in Paris, France."
418,Q7299099,Raymond Reaux,In what commune of France was Raymond Reaux born?," Raymond Reaux was born in the commune of Saint-Mandé, which is located in the department of Val-de-Marne in France."
419,Q7299099,Raymond Reaux,What is Raymond Reaux's occupation?, Raymond Reaux is a professional boxer.
420,Q7299099,Raymond Reaux,What is Raymond Reaux's country of citizenship?, Raymond Reaux is a French artist.
421,Q7299099,Raymond Reaux,What sport does Raymond Reaux play?, Raymond Reaux is a professional snowboarder.
422,Q7299099,Raymond Reaux,What language does Raymond Reaux speak?," Raymond Reaux is a French artist. Therefore, he speaks French."
423,Q16106835,Hemmie Vriens,In what city was Hemmie Vriens born?," Hemmie Vriens was born in Antwerp, Belgium."
424,Q16106835,Hemmie Vriens,What is Hemmie Vriens's occupation?, Hemmie Vriens is a professional soccer player.
425,Q16106835,Hemmie Vriens,What is Hemmie Vriens's country of citizenship?, Hemmie Vriens is a Belgian professional footballer who plays as a forward for KV Mechelen.
426,Q16106835,Hemmie Vriens,What sport does Hemmie Vriens play?, Hemmie Vriens is a professional soccer player.
427,Q16889636,Luigi Miletta,In what city was Luigi Miletta born?," Luigi Miletta was born in Naples, Italy."
428,Q16889636,Luigi Miletta,What is Luigi Miletta's country of citizenship?, Luigi Miletta is an Italian professional footballer who plays as a forward for Sassuolo in the Italian Superliga.
429,Q16889636,Luigi Miletta,What is Luigi Miletta's occupation?, Luigi Miletta is a professional footballer who currently plays as a forward for Italian club Sassuolo.
430,Q16889636,Luigi Miletta,What sport does Luigi Miletta play?, Luigi Miletta is a professional skateboarder.
431,Q16889636,Luigi Miletta,What language does Luigi Miletta speak?," Luigi Miletta is a professional footballer who currently plays for Italian club Sassuolo. As such, he speaks Italian as his primary language."
432,Q16149836,Liam Nevin,What is Liam Nevin's country of citizenship?, Liam Neeson is an Irish actor.
433,Q16149836,Liam Nevin,What is Liam Nevin's occupation?, Liam Neeson is an actor.
434,Q16149836,Liam Nevin,In what college town was Liam Nevin born?," Liam Neeson was born in Dublin, Ireland."
435,Q4395649,Anton Rogochiy,In what city was Anton Rogochiy born?," Anton Rogochiy was born in the city of Lviv, Ukraine."
436,Q4395649,Anton Rogochiy,What is Anton Rogochiy's country of citizenship?, Anton Rogochiy is a Russian citizen.
437,Q4395649,Anton Rogochiy,What sports team does Anton Rogochiy play for?, Anton Rogochiy is a professional ice hockey player who plays for the NHL's New York Rangers.
438,Q4395649,Anton Rogochiy,What is Anton Rogochiy's occupation?, Anton Rogochiy is a Russian professional ice hockey player.
439,Q4395649,Anton Rogochiy,What sports position does Anton Rogochiy play?, Anton Rogochiy is a professional soccer player who plays the position of a defender.
440,Q4395649,Anton Rogochiy,What sport does Anton Rogochiy play?, Anton Rogochiy is a professional snowboarder.
441,Q4395649,Anton Rogochiy,What language does Anton Rogochiy speak?, Anton Rogochiy is a Russian-speaking individual.
442,Q4395649,Anton Rogochiy,What country does Anton Rogochiy play for?, Anton Rogochiy is a professional footballer from Ukraine.
443,Q636134,Jérémie Galland,What sports team does Jérémie Galland play for?, Jérémie Galland is a professional ice hockey player who plays for the Montreal Canadiens in the National Hockey League (NHL).
444,Q636134,Jérémie Galland,In what commune of France was Jérémie Galland born?," Jérémie Galland was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the Île-de-France region of France."
445,Q636134,Jérémie Galland,What is Jérémie Galland's country of citizenship?, Jérémie Galland is a French professional footballer.
446,Q636134,Jérémie Galland,What is Jérémie Galland's occupation?, Jérémie Galland is a French professional footballer who plays as a goalkeeper.
447,Q636134,Jérémie Galland,What sport does Jérémie Galland play?, Jérémie Galland is a professional snowboarder.
448,Q636134,Jérémie Galland,In what sports event did Jérémie Galland participate in?," Jérémie Galland participated in the 2012 Summer Olympics in London, where he competed in the men's 200m butterfly event. He finished in 12th place in the final, with a time of 1:56.12."
449,Q636134,Jérémie Galland,What language does Jérémie Galland speak?," Jérémie Galland is a French skateboarder. Therefore, he speaks French."
450,Q16212847,Loel D. Frederickson,In what city was Loel D. Frederickson born?," Loel D. Frederickson was born in St. Paul, Minnesota, United States."
451,Q16212847,Loel D. Frederickson,What is the alma mater of Loel D. Frederickson?, Loel D. Frederickson is an alumnus of the University of Chicago.
452,Q16212847,Loel D. Frederickson,What sports team does Loel D. Frederickson play for?, Loel D Frederickson is a professional baseball player.
453,Q16212847,Loel D. Frederickson,What is Loel D. Frederickson's country of citizenship?, Loel D. Frederickson is a U.S. citizen.
454,Q16212847,Loel D. Frederickson,What is Loel D. Frederickson's occupation?," Loel D. Frederickson is a professor of psychology at the University of California, Berkeley."
455,Q16212847,Loel D. Frederickson,What sports position does Loel D. Frederickson play?, Loel D Frederickson is a defensive end in football.
456,Q16212847,Loel D. Frederickson,What sport does Loel D. Frederickson play?, Loel D Frederickson is a professional snowboarder.
457,Q17385715,Léna Carrau,In what city was Léna Carrau born?," Léna Carrau was born in Paris, France."
458,Q17385715,Léna Carrau,What is Léna Carrau's country of citizenship?, Léna Carrau is a French artist.
459,Q17385715,Léna Carrau,What is Léna Carrau's occupation?," Léna Carrau is a French artist, known for her paintings and drawings."
460,Q17385715,Léna Carrau,What sport does Léna Carrau play?, Léna Carrau is a professional snowboarder.
461,Q17385715,Léna Carrau,What language does Léna Carrau speak?, Léna Carrau speaks French.
462,Q6025265,Jesper Ollas,What is Jesper Ollas's occupation?, Jesper Ollas is a professional footballer who currently plays as a forward for Danish Superliga club Brøndby IF.
463,Q6025265,Jesper Ollas,In what urban area in Sweden was Jesper Ollas born?," Jesper Ollas was born in the city of Malmö, which is located in the southern part of Sweden."
464,Q6025265,Jesper Ollas,What sports team does Jesper Ollas play for?, Jesper Ollas is a professional ice hockey player who plays for the NHL's New York Rangers.
465,Q6025265,Jesper Ollas,What is Jesper Ollas's country of citizenship?, Jesper Ollas is a Swedish professional footballer who plays as a forward for IFK Norrköping.
466,Q6025265,Jesper Ollas,What sports position does Jesper Ollas play?, Jesper Ollas is a professional footballer who plays as a defender.
467,Q6025265,Jesper Ollas,What sport does Jesper Ollas play?, Jesper Ollas is a professional snowboarder.
468,Q3156175,Gérard de Kort,In what city was Gérard de Kort born?," Gérard de Kort was born in Brussels, Belgium."
469,Q3156175,Gérard de Kort,What is Gérard de Kort's occupation?, Gérard de Kort is a Belgian professional footballer who currently plays as a defender for KV Mechelen in the Belgian Pro League.
470,Q3156175,Gérard de Kort,What is Gérard de Kort's country of citizenship?, Gérard de Kort is a Belgian professional footballer who was born in Belgium.
471,Q3156175,Gérard de Kort,What sport does Gérard de Kort play?," Gérard de Kort is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
472,Q16218995,Dieter Bouvry,In what city was Dieter Bouvry born?," Dieter Bouvry was born in Brussels, Belgium."
473,Q16218995,Dieter Bouvry,What sports team does Dieter Bouvry play for?," Dieter Bouvry is a professional footballer who plays for the Belgian football club, Standard Liège."
474,Q16218995,Dieter Bouvry,What is Dieter Bouvry's occupation?, Dieter Bouvry is a Belgian professional footballer who currently plays as a defender for KV Mechelen in the Belgian Pro League.
475,Q16218995,Dieter Bouvry,What is Dieter Bouvry's country of citizenship?, Dieter Bouvry is a Belgian professional footballer who was born in Belgium.
476,Q16218995,Dieter Bouvry,What sport does Dieter Bouvry play?," Dieter Bouvry is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
477,Q16218995,Dieter Bouvry,Who is the sibling of Dieter Bouvry?, Dieter Bouvry is the grandfather of the sibling.
478,Q9165423,Barbara Kaczorowska,In what city was Barbara Kaczorowska born?," Barbara Kaczorowska was born in Warsaw, Poland."
479,Q9165423,Barbara Kaczorowska,What is Barbara Kaczorowska's occupation?," Barbara Kaczorowska is a Polish-American artist, known for her large-scale public murals and paintings."
480,Q9165423,Barbara Kaczorowska,What is Barbara Kaczorowska's country of citizenship?, Barbara Kaczorowska is a Polish professional volleyball player.
481,Q9165423,Barbara Kaczorowska,What sports team does Barbara Kaczorowska play for?, Barbara Kaczorowska is a professional volleyball player.
482,Q9165423,Barbara Kaczorowska,What sport does Barbara Kaczorowska play?, Barbara Kaczorowska is a professional volleyball player.
483,Q9165423,Barbara Kaczorowska,What language does Barbara Kaczorowska speak?," Barbara Kaczorowska is a Polish-American artist, and it is likely that she speaks both Polish and English fluently. However, without more context or information, it is not possible to determine her primary language with certainty."
484,Q9165423,Barbara Kaczorowska,What country does Barbara Kaczorowska play for?, Barbara Kaczorowska is a Polish volleyball player.
485,Q4121105,Wiesław Podobas,In what city was Wiesław Podobas born?," Wiesław Podobas was born in the city of Białystok, Poland."
486,Q4121105,Wiesław Podobas,What is Wiesław Podobas's country of citizenship?," Wiesław Podobas is a Polish professional footballer who was born on January 1, 1988, in Warsaw, Poland."
487,Q4121105,Wiesław Podobas,What is Wiesław Podobas's occupation?, Wiesław Podobas is a Polish professional footballer who currently plays as a defender for Stal Mielec.
488,Q4121105,Wiesław Podobas,What sports team does Wiesław Podobas play for?," Wiesław Podobas is a professional footballer who plays for Legia Warsaw, a football club based in Warsaw, Poland."
489,Q4121105,Wiesław Podobas,What sport does Wiesław Podobas play?, Wiesław Podobas is a professional volleyball player.
490,Q4121105,Wiesław Podobas,What language does Wiesław Podobas speak?, Wiesław Podobas speaks Polish.
491,Q2324726,Eric Noordegraaf,What is Eric Noordegraaf's country of citizenship?, Eric Noordegraaf is a Dutch citizen.
492,Q2324726,Eric Noordegraaf,In what municipality of the Netherlands was Eric Noordegraaf born?," Eric Noordegraaf was born in the municipality of Almelo in the province of Overijssel, Netherlands."
493,Q2324726,Eric Noordegraaf,What is Eric Noordegraaf's occupation?, Eric Noordegraaf is a short king.
494,Q2324726,Eric Noordegraaf,What sport does Eric Noordegraaf play?, Eric Noordegraaf is a professional squash player.
495,Q2018841,Berny Boxem-Lenferink,What is Berny Boxem-Lenferink's occupation?, Berny Boxem-Lenferink is a professional boxer.
496,Q2018841,Berny Boxem-Lenferink,What is Berny Boxem-Lenferink's country of citizenship?, Berny Boxem-Lenferink is a Dutch citizen.
497,Q2018841,Berny Boxem-Lenferink,What sport does Berny Boxem-Lenferink play?, Berny Boxem-Lenferink plays boxing.
498,Q2018841,Berny Boxem-Lenferink,In what village was Berny Boxem-Lenferink born?," Berny Boxem-Lenferink was born in the village of Boxem, which is located in the Netherlands."
499,Q18811145,Rudy Grass,In what city was Rudy Grass born?," Rudy Grass was born in the city of Amsterdam, Netherlands."
500,Q18811145,Rudy Grass,What sports team does Rudy Grass play for?," I'm sorry, but I am not aware of any professional sports team named ""Rudy Grass."" It is possible that you may be referring to a specific athlete or team with a similar name, but without more context or information, I cannot provide a definitive answer."
501,Q18811145,Rudy Grass,What is Rudy Grass's occupation?, Rudy Grass is a professional poker player.
502,Q18811145,Rudy Grass,What is the alma mater of Rudy Grass?," Rudy Giuliani, who is commonly referred to as Rudy Grass, is a former mayor of New York City. He did not attend college, as he dropped out of high school to pursue a career in politics."
503,Q18811145,Rudy Grass,What is Rudy Grass's country of citizenship?," Rudy Grass is a fictional character, and as such, he does not have a country of citizenship. He is a cartoon character created by Matt Groening for the television show ""The Simpsons."""
504,Q130043,Sutipong Santitevagul,What is Sutipong Santitevagul's country of citizenship?, Sutipong Santitevagul is a citizen of Thailand.
505,Q130043,Sutipong Santitevagul,What is Sutipong Santitevagul's occupation?, Sutipong Santitevagul is a professional footballer who currently plays as a defender for Thai League club Chiang Mai United.
506,Q130043,Sutipong Santitevagul,What sport does Sutipong Santitevagul play?, Sutipong Santitevagul plays tennis.
507,Q891263,Bolat Raimbekov,What is Bolat Raimbekov's country of citizenship?, Bolat Raimbekov is a citizen of the Republic of Kazakhstan.
508,Q891263,Bolat Raimbekov,In what country was Bolat Raimbekov born?, Bolat Raimbekov was born in Kazakhstan.
509,Q891263,Bolat Raimbekov,What sports team does Bolat Raimbekov play for?, Bolat Raimbekov is a professional footballer who plays for FC Kairat in the Kazakh Super League.
510,Q891263,Bolat Raimbekov,What is Bolat Raimbekov's occupation?, Bolat Raimbekov is a professional boxer.
511,Q891263,Bolat Raimbekov,What sport does Bolat Raimbekov play?, Bolat Raimbekov is a professional boxer.
512,Q19877535,Max Druen,In what U.S. state was Max Druen born?," Max Drucker, who later changed his name to Max Eastman, was born in New York City, New York, United States."
513,Q19877535,Max Druen,In what census-designated place in the United States was Max Druen born?," Max Drucker, who later changed his name to Max Eastman, was born in New York City."
514,Q19877535,Max Druen,What sports team does Max Druen play for?," I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
515,Q19877535,Max Druen,What sport does Max Druen play?, Max Druen is a professional snowboarder.
516,Q19877535,Max Druen,What is Max Druen's occupation?, Max Druen is a professional poker player.
517,Q19877535,Max Druen,What is Max Druen's country of citizenship?," Max Druen is a pseudonym, and the person behind it is not publicly known. Therefore, it is not possible to determine their country of citizenship."
518,Q19877535,Max Druen,What is the alma mater of Max Druen?," The alma mater of Max Drucker, who later changed his name to Max Drucker, is the University of Pennsylvania."
519,Q16696630,Vadim Selyukin,In what city was Vadim Selyukin born?," Vadim Selyukin was born in Moscow, Russia."
520,Q16696630,Vadim Selyukin,What is Vadim Selyukin's country of citizenship?, Vadim Selyukin is a Russian citizen.
521,Q16696630,Vadim Selyukin,What is Vadim Selyukin's occupation?, Vadim Selyukin is a Russian professional ice hockey player.
522,Q16696630,Vadim Selyukin,What award did Vadim Selyukin receive?," Vadim Selyukin received the ""Best Director"" award at the 2012 Cannes Film Festival for his film ""Sleigh Bells."" This recognition highlights his exceptional work in the film industry and his talent as a director."
523,Q16696630,Vadim Selyukin,What sports position does Vadim Selyukin play?, Vadim Selyukin is a professional ice hockey player. He plays the position of a defenseman.
524,Q16696630,Vadim Selyukin,What sport does Vadim Selyukin play?, Vadim Selyukin is a professional snowboarder.
525,Q16696630,Vadim Selyukin,What language does Vadim Selyukin speak?, Vadim Selyukin is a Russian-speaking individual.
526,Q1700793,Konrad Enke,In what medium regional center was Konrad Enke born?," Konrad Enke was born in the regional center of Konrad, which is named after him."
527,Q1700793,Konrad Enke,What is Konrad Enke's country of citizenship?, Konrad Enke is a German professional footballer.
528,Q1700793,Konrad Enke,What is Konrad Enke's occupation?, Konrad Enke is a German professional footballer who plays as a goalkeeper for Borussia Dortmund in the German Bundesliga.
529,Q1700793,Konrad Enke,What sport does Konrad Enke play?, Konrad Enke is a professional footballer who plays as a goalkeeper.
530,Q1700793,Konrad Enke,What language does Konrad Enke speak?," Konrad Enke is a character in the novel ""The Book Thief"" by Markus Zusak. He is a German soldier during World War II. Since the novel is primarily set in Germany and deals with the events of World War II, it can be inferred that Konrad Enke speaks German."
531,Q4216279,Oleksiy Kartunov,What is Oleksiy Kartunov's occupation?, Oleksiy Kartunov is a Ukrainian politician who is currently the Governor of the Zakarpattia Oblast (region) in Ukraine.
532,Q4216279,Oleksiy Kartunov,What award did Oleksiy Kartunov receive?," Oleksiy Kartunov received the Ukrainian Rukoblit Literary Award in 2021 for his debut novel ""The Tribe and the Land."" This award is given to promising young Ukrainian writers who have made significant contributions to Ukrainian literature. The novel is set in the Carpathian Mountains and tells the story of a group of outlaws who live off the grid and protect their land from outsiders."
533,Q4216279,Oleksiy Kartunov,What is the alma mater of Oleksiy Kartunov?," Oleksiy Kartunov is a Ukrainian professional footballer who was born on January 1, 1989, in Kiev, Ukraine. According to his profile on Transfermarkt, he attended and played football for FC Dynamo Kyiv, which is considered his alma mater."
534,Q4216279,Oleksiy Kartunov,What is the field of work of Oleksiy Kartunov?," Oleksiy Kartunov is a Ukrainian politician and lawyer who has been serving as the Minister of Justice of Ukraine since 27 May 2021. Prior to his current position, he worked as a lawyer and was involved in various legal cases, including human rights and constitutional law. He has also been involved in politics and has held various positions within the Ukrainian government."
535,Q4216279,Oleksiy Kartunov,What is Oleksiy Kartunov's country of citizenship?, Oleksiy Kartunov is a Ukrainian professional footballer who plays as a forward.
536,Q4216279,Oleksiy Kartunov,In what city was Oleksiy Kartunov born?," Oleksiy Kartunov was born in Kiev, Ukraine."
537,Q7819819,Tommy Rovelstad,What is Tommy Rovelstad's country of citizenship?, Tommy Rovelstad is a Norwegian professional footballer who plays as a forward for Stavanger.
538,Q7819819,Tommy Rovelstad,What sport does Tommy Rovelstad play?, Tommy Rovelstad is a professional snowboarder.
539,Q7819819,Tommy Rovelstad,What is Tommy Rovelstad's occupation?, Tommy Rovelstad is a professional ice hockey player.
540,Q7819819,Tommy Rovelstad,In what city was Tommy Rovelstad born?," Tommy Rovelstad was born in Oslo, Norway."
541,Q15925297,Mario Westbroek,What sport does Mario Westbroek play?, Mario Westbroek is a professional soccer player.
542,Q15925297,Mario Westbroek,What is Mario Westbroek's occupation?, Mario Westbroek is a short king.
543,Q15925297,Mario Westbroek,In what city was Mario Westbroek born?," Mario Westbroek was born in Rotterdam, Netherlands."
544,Q15925297,Mario Westbroek,What is Mario Westbroek's country of citizenship?, Mario Westbroek is a Dutch citizen.
545,Q17191492,Martin Wesemann,In what city was Martin Wesemann born?," Martin Wesemann was born in Berlin, Germany."
546,Q17191492,Martin Wesemann,What language does Martin Wesemann speak?, Martin Wesemann speaks German.
547,Q17191492,Martin Wesemann,What is Martin Wesemann's country of citizenship?, Martin Wesemann is a German.
548,Q17191492,Martin Wesemann,What is Martin Wesemann's occupation?, Martin Wesemann is a software engineer.
549,Q17191492,Martin Wesemann,What sport does Martin Wesemann play?, Martin Wesemann is a professional snowboarder.
550,Q16106848,Hansruedi Widmer,In what city was Hansruedi Widmer born?," Hansruedi Widmer was born in Bern, Switzerland."
551,Q16106848,Hansruedi Widmer,What is Hansruedi Widmer's country of citizenship?, Hansruedi Widmer is a Swiss citizen.
552,Q16106848,Hansruedi Widmer,What is Hansruedi Widmer's occupation?, Hansruedi Widmer is a Swiss professional footballer who currently plays as a defender for FC Thun in the Swiss Super League.
553,Q16106848,Hansruedi Widmer,What sport does Hansruedi Widmer play?, Hansruedi Widmer is a professional snowboarder.
554,Q16106848,Hansruedi Widmer,What country does Hansruedi Widmer play for?, Hansruedi Widmer is a Swiss professional footballer who plays for FC Sion in the Swiss Super League.
555,Q2662911,Piet van der Lans,What is Piet van der Lans's occupation?, Piet van der Lans is a Dutch professional footballer who currently plays as a defender for Jong AZ in the Eerste Divisie.
556,Q2662911,Piet van der Lans,What is Piet van der Lans's country of citizenship?, Piet van der Lans is a Dutch citizen.
557,Q2662911,Piet van der Lans,In what village was Piet van der Lans born?," Piet van der Lans was born in the village of Oosterbeek, which is located in the Netherlands."
558,Q2662911,Piet van der Lans,What sport does Piet van der Lans play?," Piet van der Lans is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
559,Q2776420,Gerrie Slot,In what municipality of the Netherlands was Gerrie Slot born?," Gerrie Slot was born in the municipality of Amsterdam, Netherlands."
560,Q2776420,Gerrie Slot,What is Gerrie Slot's country of citizenship?, Gerrie Slot is a Dutch citizen.
561,Q2776420,Gerrie Slot,What is Gerrie Slot's occupation?, Gerrie Slot is a Dutch professional footballer who currently plays as a defender for Eredivisie club AZ Alkmaar.
562,Q2776420,Gerrie Slot,What sport does Gerrie Slot play?," Gerrie Slot is a professional triathlete who specializes in the sport of triathlon. Triathlon is a multi-sport event that involves swimming, biking, and running, and is known for its high level of endurance and athleticism. Gerrie Slot has competed in various triathlon events, including the Ironman World Championship, and has achieved a high level of success in the sport."
563,Q16096755,Rika Bruins,In what city was Rika Bruins born?," Rika Bruins was born in the city of Utrecht, Netherlands."
564,Q16096755,Rika Bruins,What is Rika Bruins's country of citizenship?, Rika Bruins is a Dutch citizen.
565,Q16096755,Rika Bruins,What is Rika Bruins's occupation?," Rika Bruins is a Dutch YouTuber who shares her daily life, including her experiences with mental health, in her videos."
566,Q16096755,Rika Bruins,What sport does Rika Bruins play?, Rika Bruins is a professional snowboarder.
567,Q16151928,Harald Punt,What is Harald Punt's occupation?, Harald Punt is a short king.
568,Q16151928,Harald Punt,What is Harald Punt's country of citizenship?, Harald Punt is a Dutch citizen.
569,Q16151928,Harald Punt,What sport does Harald Punt play?, Harald Punt is a professional squash player.
570,Q7028493,Nicklas Heinerö,What sports team does Nicklas Heinerö play for?, Nicklas Heinerö is a professional ice hockey player who plays for the NHL's New York Rangers.
571,Q7028493,Nicklas Heinerö,What sports position does Nicklas Heinerö play?, Nicklas Heinerö is a professional ice hockey player. He plays the position of a center in the sport.
572,Q7028493,Nicklas Heinerö,What sport does Nicklas Heinerö play?, Nicklas Heinerö is a professional ice hockey player.
573,Q7028493,Nicklas Heinerö,What is Nicklas Heinerö's occupation?, Nicklas Heinerö is a professional poker player.
574,Q7028493,Nicklas Heinerö,In what urban area in Sweden was Nicklas Heinerö born?," Nicklas Heinerö was born in the city of Malmö, which is located in the southern part of Sweden."
575,Q7028493,Nicklas Heinerö,What is Nicklas Heinerö's country of citizenship?, Nicklas Heinerö is a Swedish professional footballer who plays as a defender for IFK Göteborg in the Swedish Superettan.
576,Q2626642,André Gevers,In what village was André Gevers born?," André Gevers was born in the village of Oosterbeek, which is located in the Netherlands."
577,Q2626642,André Gevers,What is André Gevers's country of citizenship?, André Gevers is a Dutch citizen.
578,Q2626642,André Gevers,What is André Gevers's occupation?, André Gevers is a Dutch professional footballer who currently plays as a defender for Jong AZ in the Eerste Divisie.
579,Q2626642,André Gevers,What sport does André Gevers play?," André Gevers is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and is known for its extreme physical demands and endurance challenges."
580,Q2106973,Ronald Vervoort,In what city was Ronald Vervoort born?, Ronald Vervoort was born in the city of Eindhoven in the Netherlands.
581,Q2106973,Ronald Vervoort,What is Ronald Vervoort's country of citizenship?, Ronald Vervoort is a Dutch citizen.
582,Q2106973,Ronald Vervoort,What is Ronald Vervoort's occupation?," Ronald Vervoort is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the highest tier of football in the Netherlands."
583,Q2106973,Ronald Vervoort,What sport does Ronald Vervoort play?, Ronald Vervoort is a professional footballer who plays as a goalkeeper.
584,Q7360307,Roland Lacombe,In what commune of France was Roland Lacombe born?," Roland Lacombe was born in the commune of Saint-Malo, which is located in the department of Ille-et-Vilaine in Brittany, France."
585,Q7360307,Roland Lacombe,What is Roland Lacombe's country of citizenship?, Roland Lacombe is a Canadian.
586,Q7360307,Roland Lacombe,What is Roland Lacombe's occupation?, Roland Lacombe is a professor of computer science at the University of Waterloo in Canada.
587,Q7360307,Roland Lacombe,What sport does Roland Lacombe play?, Roland Lacombe is a professional snowboarder.
588,Q7360307,Roland Lacombe,What language does Roland Lacombe speak?, Roland Lacombe is a French-speaking Canadian.
589,Q1395273,Siegbert Schmeisser,What sports team does Siegbert Schmeisser play for?, Siegbert Schmeisser is a professional soccer player who plays for the German national team.
590,Q1395273,Siegbert Schmeisser,In what city was Siegbert Schmeisser born?," Siegbert Schmeisser was born in Berlin, Germany."
591,Q1395273,Siegbert Schmeisser,What is Siegbert Schmeisser's occupation?, Siegbert Schmeisser is a professor of computer science at the University of Freiburg in Germany.
592,Q1395273,Siegbert Schmeisser,What is Siegbert Schmeisser's country of citizenship?, Siegbert Schmeisser is a German.
593,Q1395273,Siegbert Schmeisser,What sport does Siegbert Schmeisser play?, Siegbert Schmeisser is a professional soccer player.
594,Q1395273,Siegbert Schmeisser,What language does Siegbert Schmeisser speak?, Siegbert Schmeisser is a German-speaking character.
595,Q1395273,Siegbert Schmeisser,What country does Siegbert Schmeisser play for?, Siegbert Schmeisser is a German professional footballer who currently plays for Borussia Mönchengladbach in the German Bundesliga.
596,Q3072258,Willem Boeschoten,In what town was Willem Boeschoten born?," Willem Boeschoten was born in the town of Oosterbeek, which is located in the Netherlands."
597,Q3072258,Willem Boeschoten,What is Willem Boeschoten's country of citizenship?, Willem Boeschoten is a Dutch citizen.
598,Q3072258,Willem Boeschoten,What is Willem Boeschoten's occupation?, Willem Boeschoten is a Dutch professional footballer who currently plays as a defender for Jong AZ in the Eerste Divisie.
599,Q3072258,Willem Boeschoten,What sport does Willem Boeschoten play?, Willem Boeschoten is a professional squash player.
600,Q14282361,Rob Groen,In what city was Rob Groen born?, Rob Groen was born in the city of Eindhoven in the Netherlands.
601,Q14282361,Rob Groen,What is Rob Groen's occupation?, Rob Groen is a short king.
602,Q14282361,Rob Groen,What is Rob Groen's country of citizenship?, Rob Groen is a Dutch citizen.
603,Q14282361,Rob Groen,What sport does Rob Groen play?, Rob Groen is a professional snowboarder.
604,Q6114769,John Reddish,What sports position does John Reddish play?, John Reddish is a shooting guard in basketball.
605,Q6114769,John Reddish,What sport does John Reddish play?, John Reddish is a professional basketball player.
606,Q6114769,John Reddish,What sports team does John Reddish play for?, John Reddish is a professional basketball player who currently plays for the Atlanta Hawks of the National Basketball Association (NBA).
607,Q6114769,John Reddish,In what city was John Reddish born?," John Reddish was born in London, England."
608,Q6114769,John Reddish,What is John Reddish's occupation?, John Reddish is a professional poker player.
609,Q6114769,John Reddish,What language does John Reddish speak?," John Reddish is a British-American businessman and entrepreneur. He is the co-founder and CEO of Zola, an online wedding registry and marketplace. As of my knowledge cutoff in September 2021, John Reddish speaks English fluently."
